NRO;CAP_;CDL;CAT_;PREP_;LOGRADOURO;LOTE;REFERENCIA;PASSEIO;AREA_AZUL;OBSERVACAO;AV_STATUS;AV_SCORE;AV_SIDE;LATITUDE;LONGITUDE
984;2;8078065;R;;DR FLORENCIO YGARTUA;150;;;x;;M;100;L;-30,02787308;-51,20306181
985;2;8078065;R;;DR FLORENCIO YGARTUA;48;;;x;;M;100;L;-30,0265925;-51,20314785
986;3;8078057;R;;COMENDADOR CAMINHA;380;Ao lado 372;;x;;U;0;;;
987;2;8078057;R;;COMENDADOR CAMINHA;324;;;x;;M;100;L;-30,02570967;-51,20145045
988;2;8078057;R;;COMENDADOR CAMINHA;250;;;;;M;100;L;-30,02621921;-51,20129498
989;2;8078057;R;;COMENDADOR CAMINHA;140;Ao lado 142;;;;M;100;L;-30,02743412;-51,20206213
990;2;8078057;R;;COMENDADOR CAMINHA;20;Ao lado 42;;;;U;0;;;
991;2;7978075;R;;DR VALE;651;;x;;;M;100;R;-30,02798607;-51,20594028
992;2;7978075;R;;DR VALE;573;;;;Alterado em 21/06/11. Era PE, atualmente E permit;M;100;R;-30,02733736;-51,2062154
993;2;7978075;R;;DR VALE;479;;;;Alterado em 21/06/11. Era PE, atualmente E permit;M;100;R;-30,02662206;-51,20655312
994;2;7978075;R;;DR VALE;395;;;;Alterado em 21/06/11. Era PE, atualmente E permit;M;100;R;-30,02598286;-51,2068549
995;2;7978075;R;;DR VALE;303;;x;;Alterado em 21/06/11 da via para o passeio (PE);M;100;R;-30,02505578;-51,20727678
996;2;7978075;R;;DR VALE;249;Lado oposto 250;x;;Alterado em 21/06/11 da via para o passeio (PE);M;100;R;-30,02440505;-51,20755973
997;2;7978067;R;;TIRADENTES;331;Lado oposto 330;;;;M;100;R;-30,02441559;-51,20817392
998;2;7978067;R;;TIRADENTES;333;;;;;M;100;R;-30,02439738;-51,20815399
999;2;7978075;R;;DR VALE;153;;;;;M;100;R;-30,02313162;-51,20812071
1000;2;7978059;R;;GEN NETO;234;;;;;M;100;L;-30,02313466;-51,20829475
1001;2;7978059;R;;GEN NETO;158;;;;;M;100;L;-30,02381213;-51,20898757
1002;2;7978059;R;;GEN NETO;74;Lado oposto 73;;;;M;100;L;-30,0245609;-51,20975333
